Scenario,Range_mi,EV_share,EV_VMT,Gas_VMT,Installed_TWh,CO2_saved_tons,Cfleet_USD,$/EV_mile,$/tCO2,CO2_saved_Mt,$ per EV-mile,$ per ton CO2
Worst,25,0.55,1794540000000.0002,1468259999999.9998,1.9861792893875645,320786384.090909,296933803763.44086,0.16546513522319972,92.5643414089831,320.786384090909,0.16546513522319972,92.5643414089831
Worst,50,0.733,2391632400000.0,871167600000.0,3.972358578775129,62068961.22727275,593867607526.8817,0.24831057127628883,956.7867671449601,62.06896122727275,0.24831057127628883,956.7867671449601
Worst,75,0.79,2577612000000.0,685188000000.0,5.958537868162692,-18515154.090909094,890801411290.3225,0.34559173812440447,-4811.201715721634,-18.515154090909093,0.34559173812440447,-4811.201715721634
Worst,100,0.84,2740752000000.0,522048000000.0,7.944717157550258,-89202974.54545456,1187735215053.7634,0.43336106844171357,-1331.4973195748503,-89.20297454545457,0.43336106844171357,-1331.4973195748503
Worst,125,0.86,2806008000000.0,456792000000.0,9.93089644693782,-117478102.72727272,1484669018817.204,0.5291036300741851,-1263.7836195430282,-117.47810272727271,0.5291036300741851,-1263.7836195430282
Worst,150,0.868,2832110400000.0,430689600000.0,11.917075736325383,-128788154.0,1781602822580.645,0.6290725187057132,-1383.3592354935417,-128.788154,0.6290725187057132,-1383.3592354935417
Average,25,0.55,1794540000000.0002,1468259999999.9998,1.9861792893875645,320786384.090909,228410618279.56992,0.12728087324861517,71.20333954537163,320.786384090909,0.12728087324861517,71.20333954537163
Average,50,0.733,2391632400000.0,871167600000.0,3.972358578775129,62068961.22727275,456821236559.13983,0.19100813175099143,735.9898208807388,62.06896122727275,0.19100813175099143,735.9898208807388
Average,75,0.79,2577612000000.0,685188000000.0,5.958537868162692,-18515154.090909094,685231854838.7096,0.2658397985572342,-3700.9243967089483,-18.515154090909093,0.2658397985572342,-3700.9243967089483
Average,100,0.84,2740752000000.0,522048000000.0,7.944717157550258,-89202974.54545456,913642473118.2797,0.3333546680320874,-1024.2287073652697,-89.20297454545457,0.3333546680320874,-1024.2287073652697
Average,125,0.86,2806008000000.0,456792000000.0,9.93089644693782,-117478102.72727272,1142053091397.8494,0.40700279236475784,-972.1412458023295,-117.47810272727271,0.40700279236475784,-972.1412458023295
Average,150,0.868,2832110400000.0,430689600000.0,11.917075736325383,-128788154.0,1370463709677.4192,0.48390193746593324,-1064.1224888411857,-128.788154,0.48390193746593324,-1064.1224888411857
Best,25,0.55,1794540000000.0002,1468259999999.9998,1.9861792893875645,320786384.090909,182728494623.6559,0.10182469859889214,56.962671636297294,320.786384090909,0.10182469859889214,56.962671636297294
Best,50,0.733,2391632400000.0,871167600000.0,3.972358578775129,62068961.22727275,365456989247.3118,0.15280650540079313,588.7918567045909,62.06896122727275,0.15280650540079313,588.7918567045909
Best,75,0.79,2577612000000.0,685188000000.0,5.958537868162692,-18515154.090909094,548185483870.96765,0.21267183884578736,-2960.739517367159,-18.515154090909093,0.21267183884578736,-2960.739517367159
Best,100,0.84,2740752000000.0,522048000000.0,7.944717157550258,-89202974.54545456,730913978494.6237,0.2666837344256699,-819.3829658922156,-89.20297454545457,0.2666837344256699,-819.3829658922156
Best,125,0.86,2806008000000.0,456792000000.0,9.93089644693782,-117478102.72727272,913642473118.2795,0.32560223389180626,-777.7129966418636,-117.47810272727271,0.32560223389180626,-777.7129966418636
Best,150,0.868,2832110400000.0,430689600000.0,11.917075736325383,-128788154.0,1096370967741.9353,0.38712154997274656,-851.2979910729485,-128.788154,0.38712154997274656,-851.2979910729485
